timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1519294222999,1088,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,948,8,119
1519294224096,627,436 /,200,OK,Thread Group 1-1,text,true,,14246,387,1,1,115,0,51
1519294224095,627,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,14246,387,1,1,115,2,51
1519294224724,276,511 /,200,OK,Thread Group 1-1,text,true,,14246,413,1,1,121,0,52
1519294224724,276,511 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,14246,413,1,1,121,0,52
1519294225001,221,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,77,0,37
1519294225223,138,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,138,0,29
1519294225362,124,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,124,0,0
1519294225488,148,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,148,0,33
1519294225637,132,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,132,0,0
1519294225770,134,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,134,0,0
1519294225906,119,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,119,0,0
1519294225000,1016,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,872,10,99
1519294226026,6791,436 /,200,OK,Thread Group 1-1,text,true,,74429,387,1,1,850,0,54
1519294226026,6791,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,74429,387,1,1,850,4,54
1519294232823,1136,511 /,200,OK,Thread Group 1-1,text,true,,74429,413,1,1,813,0,50
1519294232822,1136,511 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,74429,413,1,1,813,2,50
1519294233959,219,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,75,0,31
1519294234180,199,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,199,0,56
1519294234380,203,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,203,0,56
1519294234584,141,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,141,0,0
1519294234726,154,570 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,154,0,0
1519294234881,142,571 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,142,0,0
1519294235024,133,572 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,133,0,0
1519294233959,1191,566 /java/java_quick_guide.htm,200,"Number of samples in transaction : 7, number of failing samples : 0",Thread Group 1-1,,true,,93585,2922,1,1,1047,8,143
1519294235158,288,436 /,200,OK,Thread Group 1-1,text,true,,14246,387,1,1,128,0,55
1519294235158,288,436 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,14246,387,1,1,128,0,55
1519294235447,278,511 /,200,OK,Thread Group 1-1,text,true,,14246,413,1,1,121,0,52
1519294235447,278,511 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,14246,413,1,1,121,0,52
1519294235726,171,566 /java/java_quick_guide.htm,200,OK,Thread Group 1-1,text,true,,89349,322,1,1,40,0,0
1519294235898,155,567 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,1,1,155,0,0
1519294236054,150,568 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,150,0,0
1519294236205,146,569 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,1,1,146,0,0
