timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1590512356615,404,Get Registration page nonces ,200,OK,Thread Group  1-4,text,true,,577,381,4,4,https://leedonline-stg.usgbc.org/leed/getNonce/5,404,0,0
1590512357021,300,Sdn status validation api ,200,OK,Thread Group  1-4,text,true,,456,629,5,5,https://leedonline-api-stg.usgbc.org/v1/json/Validate/sdnStatus,299,0,132
1590512356478,1021,Payment page,200,OK,Thread Group  1-2,text,true,,206632,7571,5,5,https://leedonline-stg.usgbc.org/payment/pay/community/1000183292,588,0,131
1590512357501,302,Payment page - validate zipcode,200,OK,Thread Group  1-2,text,true,,905,646,5,5,https://leedonline-stg.usgbc.org/projects/validatezipcode,302,0,0
1590512357249,671,LEED Online  ,200,OK,Thread Group  1-5,text,true,,758326,6126,5,5,https://leedonline-stg.usgbc.org/,338,0,169
1590512357807,370,Get project registration payment billing info,200,OK,Thread Group  1-2,text,true,,562,883,5,5,https://leedonline-stg.usgbc.org/payment/saveBillToForOrder?country=US&taxExempt=0&address2=+&city=Morrisville&address1=Calle+de+Alcala+48&refresh=N&billEmail=automationbdd2%40gmail.com&isTaxId1Valid=N&isPostalCodeValid=Y&billName=Automation+User&postalcodeHash=Wk50OUFjU050L0JLVDdhWGxlN3YyMTlKYXV6dnhWcVdLaERzdGZsaTdwTGp1VDUyd2pRMGJVYzlVcTB3Y0drVTdKMzhzRTlsUGNGc2RMM0p1NlJ4c0w3cW5oN2lLWWNFUGpNcW41U1ZiSkU4TU9KMnYyZnBIOHJ2VUdicGp6bng0WUNnK0tMZ1dKQT0kd0x6Y1FhdHJqRGs9&indiaSez=0&postalcode=12345&currency=USD&state=NC&postalcodeHashFor=US%23NC%2312345,370,0,0
1590512357922,813,LEED Online login page api,200,OK,Thread Group  1-5,text,true,,626,635,5,5,https://leedonline-stg.usgbc.org/user/login,813,0,0
1590512358181,743,Community Project - Get Payment process Id (Payload Id) of the payment ,200,OK,Thread Group  1-2,text,true,,1106,655,5,5,https://leedonline-stg.usgbc.org/payment/pay/community/1000183292,743,0,0
1590512357323,1646,Fill Registration page with all fields,200,OK,Thread Group  1-4,text,true,,142773,10684,5,5,https://leedonline-stg.usgbc.org/leed/agreement,334,0,0
1590512358789,879,Projects page  ,200,OK,Thread Group  1-5,text,true,,880065,11625,5,5,https://leedonline-stg.usgbc.org/projects,352,0,0
1590512359035,1159,Agreement Page,200,OK,Thread Group  1-4,text,true,,92554,12756,5,5,https://leedonline-stg.usgbc.org/projects,145,0,0
1590512359770,686,Community Link,200,OK,Thread Group  1-5,text,true,,68258,11348,5,5,https://leedonline-stg.usgbc.org/communities,233,0,129
1590512360494,261,Community Register Page,200,OK,Thread Group  1-5,text,true,,101754,9354,5,5,https://leedonline-stg.usgbc.org/communities/register,86,0,0
1590512360757,79,Validate Zip code,200,OK,Thread Group  1-5,text,true,,905,623,5,5,https://leedonline-stg.usgbc.org/projects/validatezipcode,79,0,0
1590512360839,196,Get Registration page nonces ,200,OK,Thread Group  1-5,text,true,,577,381,5,5,https://leedonline-stg.usgbc.org/leed/getNonce/5,196,0,0
1590512361037,300,Sdn status validation api ,200,OK,Thread Group  1-5,text,true,,456,629,5,5,https://leedonline-api-stg.usgbc.org/v1/json/Validate/sdnStatus,299,0,141
1590512361418,725,Fill Registration page with all fields,200,OK,Thread Group  1-5,text,true,,142787,10684,5,5,https://leedonline-stg.usgbc.org/leed/agreement,242,0,0
1590512355919,6472,Project Registration confirmation and get Project Id,200,OK,Thread Group  1-3,text,true,,738,613,5,5,https://leedonline-stg.usgbc.org/communities/register,6472,0,0
1590512362234,1509,Agreement Page,200,OK,Thread Group  1-5,text,true,,92569,12756,5,5,https://leedonline-stg.usgbc.org/projects,174,0,120
1590512362418,1344,Payment page,200,OK,Thread Group  1-3,text,true,,206640,7571,5,5,https://leedonline-stg.usgbc.org/payment/pay/community/1000183294,762,0,122
1590512363763,254,Payment page - validate zipcode,200,OK,Thread Group  1-3,text,true,,905,646,5,5,https://leedonline-stg.usgbc.org/projects/validatezipcode,254,0,0
1590512364018,179,Get project registration payment billing info,200,OK,Thread Group  1-3,text,true,,562,883,5,5,https://leedonline-stg.usgbc.org/payment/saveBillToForOrder?country=US&taxExempt=0&address2=+&city=Morrisville&address1=Calle+de+Alcala+48&refresh=N&billEmail=automationbdd3%40gmail.com&isTaxId1Valid=N&isPostalCodeValid=Y&billName=Automation+User&postalcodeHash=WXZRcm5rcXlJVXovRG56R09pRmRKOWpMY1A2V3pFYjZ6elY5ai9WajlOdEJudTQ1aklPOGxsYlVxYmNMTmxURjhpQ3hnbmFaUjBWdm5kYUtySHM1V25YMTlueDlSZW1nYUFJemQ0NjFEaWUwVzUxZVd2SVVhWGtEUGJuc2VKZG15NWVPa0tqZDNvUT0kb1Vwb2xpRFB6L2s9&indiaSez=0&postalcode=12345&currency=USD&state=NC&postalcodeHashFor=US%23NC%2312345,179,0,0
1590512364198,507,Community Project - Get Payment process Id (Payload Id) of the payment ,200,OK,Thread Group  1-3,text,true,,1106,655,5,5,https://leedonline-stg.usgbc.org/payment/pay/community/1000183294,507,0,0
1590512360196,6801,Project Registration confirmation and get Project Id,200,OK,Thread Group  1-4,text,true,,738,613,5,5,https://leedonline-stg.usgbc.org/communities/register,6800,0,132
1590512367005,1087,Payment page,200,OK,Thread Group  1-4,text,true,,206646,7571,5,5,https://leedonline-stg.usgbc.org/payment/pay/community/1000183296,422,0,115
1590512368093,80,Payment page - validate zipcode,200,OK,Thread Group  1-4,text,true,,905,646,5,5,https://leedonline-stg.usgbc.org/projects/validatezipcode,80,0,0
1590512368174,172,Get project registration payment billing info,200,OK,Thread Group  1-4,text,true,,562,883,5,5,https://leedonline-stg.usgbc.org/payment/saveBillToForOrder?country=US&taxExempt=0&address2=+&city=Morrisville&address1=Calle+de+Alcala+48&refresh=N&billEmail=automationbdd4%40gmail.com&isTaxId1Valid=N&isPostalCodeValid=Y&billName=Automation+User&postalcodeHash=dDEvL2pzVFNPQkNxQXNsbFozYWRQdElQRUpZb1h5M2dXbjhTaUczY0g5VjRtUU9WdFVkbS84cW84SENla2pqVTlqUEdDekVkTHFIM1B4dmpCUU1CdTNIcWxWcmJzQndJOU84Z1VaSUVUcVF4cS9YWUxHTFNXMzQwQ05sbXlrRHpCOWczZll3MHY1ST0kQ05UcGVnVVhPaU09&indiaSez=0&postalcode=12345&currency=USD&state=NC&postalcodeHashFor=US%23NC%2312345,172,0,0
1590512368347,426,Community Project - Get Payment process Id (Payload Id) of the payment ,200,OK,Thread Group  1-4,text,true,,1106,655,5,5,https://leedonline-stg.usgbc.org/payment/pay/community/1000183296,426,0,0
1590512363744,6969,Project Registration confirmation and get Project Id,200,OK,Thread Group  1-5,text,true,,738,613,5,5,https://leedonline-stg.usgbc.org/communities/register,6968,0,0
1590512370742,797,Payment page,200,OK,Thread Group  1-5,text,true,,206632,7571,5,5,https://leedonline-stg.usgbc.org/payment/pay/community/1000183298,475,0,166
1590512371541,74,Payment page - validate zipcode,200,OK,Thread Group  1-5,text,true,,905,646,5,5,https://leedonline-stg.usgbc.org/projects/validatezipcode,74,0,0
